Timestamp,Ngp,Npt,HPC_ASV_Command,HPC_ASV_Position,HPC_Surge_Margin,HPC_ASC_Flow_DP,HPC_Suction_Press,HPC_Discharge_Press
2024-05-07 23:43:00+00:00,95.5665,85.268,87.6066,87.4555,14.2193,83.6646,104.3269,266.394
2024-05-07 23:44:00+00:00,95.5691,85.4746,89.1705,89.1336,14.2674,83.7124,104.7033,267.2188
2024-05-07 23:45:00+00:00,95.5718,85.5475,91.5462,91.6003,14.4098,84.6198,104.002,267.4359
2024-05-07 23:46:00+00:00,95.3534,85.249,92.1334,92.1963,11.6611,80.6314,103.687,266.8621
2024-05-07 23:47:00+00:00,95.26,85.0427,90.483,90.4704,11.5348,80.0614,104.0417,266.5689
2024-05-07 23:48:00+00:00,95.3152,85.0042,90.4569,90.6021,13.7819,82.8761,104.4851,266.5385
2024-05-07 23:49:00+00:00,95.2171,84.9153,90.8314,90.9727,12.5284,81.1378,104.1699,266.3478
2024-05-07 23:50:00+00:00,95.1797,84.9577,91.5293,91.4888,11.115,79.2795,103.9119,266.3141
2024-05-07 23:51:00+00:00,95.2583,84.867,90.5602,90.8894,12.4479,80.928,104.4503,266.5048
2024-05-07 23:52:00+00:00,95.1636,84.8349,89.3418,89.2708,11.2942,78.6407,104.5513,265.5849
2024-05-07 23:53:00+00:00,95.3989,85.0627,89.8596,89.742,13.0923,81.3418,104.742,266.1795
2024-05-07 23:54:00+00:00,95.3529,85.0529,90.6985,90.6074,12.7426,81.2442,104.5849,266.6955
2024-05-07 23:55:00+00:00,95.0369,84.8641,88.9425,89.375,10.5142,77.9423,103.9792,265.6186
2024-05-07 23:56:00+00:00,95.437,85.1178,87.833,87.7771,14.8539,83.5239,105.4297,266.3864
2024-05-07 23:57:00+00:00,95.6336,85.3828,90.0067,89.9297,15.0087,84.7161,104.7322,267.2912
2024-05-07 23:58:00+00:00,95.6132,85.4463,92.05,92.0406,13.3608,83.3712,104.1774,268.1837
2024-05-07 23:59:00+00:00,95.3,85.1512,91.1447,91.3495,11.3047,80.0465,103.7157,266.786
2024-05-08 00:00:00+00:00,95.4884,85.1611,88.6716,88.5903,14.7385,83.9264,104.9926,266.5385
2024-05-08 00:01:00+00:00,95.6203,85.4158,90.2748,90.0753,14.9411,84.9248,104.6522,267.492
2024-05-08 00:02:00+00:00,95.4237,85.3346,91.9742,91.9405,12.2001,81.6378,103.3877,267.0785
2024-05-08 00:03:00+00:00,95.2143,84.9187,89.6685,89.7628,11.9603,80.0869,103.9829,265.6261
2024-05-08 00:04:00+00:00,95.4652,85.166,90.0643,89.9744,12.7549,81.508,104.4915,266.7778
2024-05-08 00:05:00+00:00,95.4339,85.2134,90.8088,90.703,11.5205,79.8906,104.3568,266.9872
2024-05-08 00:06:00+00:00,95.4101,85.0886,90.0847,90.3291,12.5329,81.1781,104.3269,266.5983
2024-05-08 00:07:00+00:00,95.3958,85.12,90.4628,90.3111,12.8486,81.5916,104.3269,266.5385
2024-05-08 00:08:00+00:00,95.3816,85.0775,90.6563,90.653,12.0135,80.4889,104.3269,266.7324
2024-05-08 00:09:00+00:00,95.2462,84.9356,89.0736,89.2385,12.0081,79.9174,104.5136,266.0161
2024-05-08 00:10:00+00:00,95.4455,85.102,89.4042,89.3491,13.6458,82.0932,104.7411,266.0552
2024-05-08 00:11:00+00:00,95.3195,85.1024,90.2104,90.2931,11.9132,80.0707,104.222,266.2743
2024-05-08 00:12:00+00:00,95.2834,85.0456,89.7419,89.7088,12.2894,80.2624,104.4752,265.9414
2024-05-08 00:13:00+00:00,95.4284,85.1289,87.7353,87.7857,12.6504,80.3756,105.1217,266.0555
2024-05-08 00:14:00+00:00,95.7713,85.5288,89.8803,89.999,15.8208,85.7788,105.2244,267.5662
